Age,Annual Income,Credit Score,Loan Amount,Existing Loan,Debt to Income,Has Default
56,29930,839,11046.632625141063,1,0.2531585547975498,0
69,23285,811,22604.817426863945,0,0.5845598580382079,0
46,143637,510,48708.271038782186,0,0.19255950117796786,1
32,55863,552,20801.201611804536,1,0.10331288704119448,0
60,36704,337,44052.256117911624,0,0.30206513020350945,0
25,38705,342,9194.516184869131,0,0.394584372997018,0
38,20555,704,20038.272906896134,1,0.5230482351371942,0
56,41323,345,20792.899612732082,1,0.5686691545625732,0
36,90968,753,7322.114439904108,0,0.4981115266801781,0
40,86922,604,10359.244858403974,1,0.47590532819015596,1
28,73915,532,13692.434500479694,0,0.49944923339166103,0
28,129543,544,42701.701586455085,0,0.2629159105486594,0
41,30619,594,7853.089547291287,0,0.32941679377874067,0
53,92390,682,18441.540560497422,0,0.46986190059973865,0
57,148918,457,5457.875116517038,1,0.1393423962123837,0
41,128500,704,36303.24854313611,1,0.2771952100407134,0
20,134337,300,32913.639051952094,1,0.34385136685459183,0
39,79274,516,34024.20179239138,1,0.4200644097123616,1
19,93173,806,21847.225312157843,1,0.3918892644165767,0
41,41225,329,14372.051957040607,1,0.5308791268923962,0
61,131266,819,37414.409597871505,1,0.3840560052498767,1
47,46739,574,41500.30427333128,1,0.6424779902949933,0
55,67708,791,11237.06741441908,1,0.3281910052914504,0
19,148041,335,26907.324257183962,1,0.41522302370569386,0
38,73019,610,16192.205689048813,1,0.10192623376121608,0
50,96154,343,12564.808754276019,1,0.2862867738677136,0
29,122097,454,38044.63910727496,0,0.6199437863883953,0
39,27373,376,29214.362096277666,1,0.30014583675777495,1
61,55281,737,14728.339957040049,1,0.2519117999994772,0
42,40187,731,18950.00050451953,1,0.426122177465333,0
66,87863,841,48499.415209748404,1,0.14723805906524348,0
44,117927,338,43190.58041188505,1,0.41896307899023955,0
59,127113,538,44597.60342929078,0,0.282199478945313,1
45,104085,312,25700.54436863186,0,0.3298617339246325,1
33,137996,421,33071.32687643937,1,0.5748190026022869,0
32,59220,443,21954.548309198522,1,0.49717841116847106,0
64,142755,754,8497.038906000074,1,0.3676636558743057,0
68,27642,667,23048.118979555213,0,0.4465097878509636,0
61,99971,546,31729.133894321512,1,0.5601152531921375,0
69,75556,344,17921.492184565912,1,0.547470247117713,0
20,53760,674,43157.77586273371,0,0.21119302633070705,1
54,58192,590,11799.507162856939,0,0.28055153319952286,0
68,144257,506,21520.809024661397,1,0.30894215857961516,0
24,24381,818,10620.675739589133,1,0.21252537400300267,1
38,116583,541,23217.44602933514,0,0.10729687240378252,0
26,39558,413,6784.75872384217,1,0.20438036127328732,0
56,50782,601,17264.722777774045,1,0.5849465962488923,0
35,24782,575,23033.086480115766,0,0.42755227083548264,0
21,111417,395,26517.44134745112,1,0.3049948161923085,0
42,74712,593,29466.336131381384,0,0.4650066673776788,0
31,125764,659,17374.60084054635,1,0.543900475208075,0
67,114945,587,28536.860057669255,1,0.3126566698125176,1
26,39462,453,27905.207970292693,0,0.3796449049209847,0
43,80030,722,19228.01228942938,0,0.13852793000206937,0
19,88519,349,42359.01487954152,0,0.4582543217274875,0
37,76411,506,29553.85069671043,0,0.31384425733131077,0
45,75206,512,19952.137343594524,0,0.3601141885604726,0
64,117469,365,47630.233043634944,0,0.35356037076815483,0
24,66950,531,43030.05858820225,0,0.4794455732455256,0
61,22523,619,49216.45151983104,0,0.4434792093726885,1
25,80926,436,36150.524359043935,0,0.35326362866594085,0
64,29677,364,22020.03074777211,1,0.11017301289443722,0
52,95828,813,17638.730000555555,1,0.4725775687788275,1
31,35089,431,34849.30296535164,0,0.6277464844205962,0
34,24581,633,49136.746212288665,1,0.5617309429563385,0
53,31907,331,33202.1786046732,0,0.6889693793500493,1
67,25609,797,44672.67234454272,0,0.18344520281242804,0
57,71153,542,19809.65439714959,1,0.23351203167271223,0
21,70539,491,23312.9202113415,0,0.4235604791331875,0
19,64143,441,45782.3857815209,0,0.24152902140628388,0
23,42936,490,39059.00158810185,0,0.12072986876901391,0
59,70182,448,49163.46441655576,0,0.34137296569836767,0
21,128261,715,39864.389437950886,1,0.2725868404923895,0
46,131259,819,25183.20682482043,0,0.2582565073953297,0
35,119524,315,28898.06089200634,1,0.6719036902145491,1
43,115042,405,45523.19716084115,1,0.24307246975926972,0
61,33163,582,29824.103124412155,0,0.1776595427124387,0
51,146686,403,16492.881837400033,1,0.1751915547447107,1
27,79758,660,24602.891574647725,1,0.5837944440931175,0
53,66057,334,28234.219498210306,1,0.5289088447160442,0
31,32537,412,9352.39250980083,1,0.1776917173402373,0
