Age,Annual Income,Credit Score,Loan Amount,Existing Loan,Debt to Income,Has Default
56,29930,839,11046.63,1,0.33,0
69,23285,811,22604.82,0,0.83,0
46,143637,510,48708.27,0,0.24,1
32,55863,552,20801.2,1,0.1,0
60,36704,337,44052.26,0,0.4,0
25,38705,342,9194.52,0,0.54,1
38,20555,704,20038.27,1,0.73,1
56,41323,345,20792.9,1,0.8,1
36,90968,753,7322.11,0,0.7,1
40,86922,604,10359.24,1,0.66,1
28,73915,532,13692.43,0,0.7,0
28,129543,544,42701.7,0,0.34,1
41,30619,594,7853.09,0,0.44,1
53,92390,682,18441.54,0,0.65,0
57,148918,457,5457.88,1,0.16,0
41,128500,704,36303.25,1,0.37,1
20,134337,300,32913.64,1,0.47,0
39,79274,516,34024.2,1,0.58,1
19,93173,806,21847.23,1,0.54,1
41,41225,329,14372.05,1,0.75,1
61,131266,819,37414.41,1,0.53,1
47,46739,574,41500.3,1,0.91,1
55,67708,791,11237.07,1,0.44,1
19,148041,335,26907.32,1,0.57,1
38,73019,610,16192.21,1,0.1,1
50,96154,343,12564.81,1,0.38,1
29,122097,454,38044.64,0,0.88,0
39,27373,376,29214.36,1,0.4,1
61,55281,737,14728.34,1,0.33,0
42,40187,731,18950.0,1,0.59,1
66,87863,841,48499.42,1,0.17,0
44,117927,338,43190.58,1,0.58,1
59,127113,538,44597.6,0,0.37,1
45,104085,312,25700.54,0,0.44,1
33,137996,421,33071.33,1,0.81,1
32,59220,443,21954.55,1,0.7,1
64,142755,754,8497.04,1,0.5,0
68,27642,667,23048.12,0,0.62,0
61,99971,546,31729.13,1,0.79,0
69,75556,344,17921.49,1,0.77,0
20,53760,674,43157.78,0,0.27,1
54,58192,590,11799.51,0,0.37,0
68,144257,506,21520.81,1,0.41,1
24,24381,818,10620.68,1,0.27,1
38,116583,541,23217.45,0,0.11,1
26,39558,413,6784.76,1,0.26,0
56,50782,601,17264.72,1,0.83,0
35,24782,575,23033.09,0,0.59,0
21,111417,395,26517.44,1,0.41,1
42,74712,593,29466.34,0,0.65,0
31,125764,659,17374.6,1,0.77,1
67,114945,587,28536.86,1,0.42,1
26,39462,453,27905.21,0,0.52,0
43,80030,722,19228.01,0,0.16,0
19,88519,349,42359.01,0,0.64,1
37,76411,506,29553.85,0,0.42,0
45,75206,512,19952.14,0,0.49,1
64,117469,365,47630.23,0,0.48,1
24,66950,531,43030.06,0,0.67,0
61,22523,619,49216.45,0,0.62,1
25,80926,436,36150.52,0,0.48,0
64,29677,364,22020.03,1,0.12,0
52,95828,813,17638.73,1,0.66,1
31,35089,431,34849.3,0,0.89,0
34,24581,633,49136.75,1,0.79,0
53,31907,331,33202.18,0,0.98,1
67,25609,797,44672.67,0,0.23,0
57,71153,542,19809.65,1,0.3,0
21,70539,491,23312.92,0,0.59,1
19,64143,441,45782.39,0,0.31,0
23,42936,490,39059.0,0,0.13,1
59,70182,448,49163.46,0,0.46,0
21,128261,715,39864.39,1,0.36,1
46,131259,819,25183.21,0,0.34,0
35,119524,315,28898.06,1,0.96,1
43,115042,405,45523.2,1,0.31,0
61,33163,582,29824.1,0,0.22,1
51,146686,403,16492.88,1,0.21,1
27,79758,660,24602.89,1,0.83,0
53,66057,334,28234.22,1,0.74,0
31,32537,412,9352.39,1,0.22,0
48,42419,607,38469.32,0,0.3,1
65,62578,352,9920.93,0,0.77,1
32,94991,380,23221.3,0,0.35,1
25,141211,668,41208.01,1,0.98,1
31,142762,541,26040.67,1,0.59,0
40,94599,330,42890.7,0,0.27,0
57,20834,660,20384.66,1,0.87,1
38,52214,532,48093.63,1,0.39,0
33,112934,333,14426.08,0,0.36,0
62,143798,542,6721.89,1,0.39,1
35,120028,358,44259.19,1,0.79,0
64,141286,828,38849.12,0,0.26,0
41,22413,377,15439.27,0,0.44,1
43,29505,601,49313.37,0,0.13,0
42,140681,411,27602.61,0,0.84,0
62,122802,712,47797.94,0,0.41,1
58,22105,616,27726.29,0,0.32,1
46,88104,444,26234.36,0,0.62,0
32,148303,317,25211.23,1,0.73,0
62,127634,650,20069.39,0,0.83,1
18,134897,454,29016.57,1,0.41,0
42,78408,805,25364.96,0,0.83,0
24,57679,659,6653.61,1,0.52,0
26,136908,631,16719.59,1,0.19,0
41,134921,827,14590.53,1,0.86,1
18,119096,311,44034.6,1,0.59,1
61,99731,374,31949.15,1,0.64,0
25,132205,511,39365.74,0,0.94,1
41,85131,582,48057.17,0,0.6,1
28,84280,494,33981.77,0,0.11,0
68,35762,329,49217.45,1,0.88,0
34,137798,308,19029.38,1,0.36,1
25,136854,608,13382.02,1,0.55,0
52,126830,744,23148.94,0,0.28,1
52,78703,609,26185.97,1,0.37,1
50,101434,725,45291.27,1,0.72,0
22,83079,390,30197.32,0,0.49,0
59,41577,755,18148.14,0,0.66,0
56,21214,743,38418.54,0,0.84,0
58,106339,378,27762.44,1,0.41,0
45,68114,774,12295.94,1,0.61,1
24,109234,402,30956.89,0,0.8,0
26,83230,755,46012.75,1,0.74,1
25,143163,613,42918.02,1,0.59,0
29,52980,546,31406.45,1,0.45,1
51,87194,533,21968.74,1,0.47,1
50,97806,534,8914.04,0,0.49,1
65,132333,686,26134.2,1,0.41,0
40,57792,337,38843.57,1,0.73,0
41,65807,460,21212.32,0,0.21,0
54,144297,761,15595.11,1,0.97,0
52,145266,748,46912.09,1,0.8,1
61,42301,416,41970.01,0,0.37,1
57,25141,540,33722.4,1,0.14,1
39,136482,325,11155.25,0,0.74,1
44,124292,597,11520.9,1,0.76,1
52,142984,453,9644.88,1,0.97,1
18,33777,767,32733.35,1,0.33,0
52,58346,348,10200.33,0,0.17,0
54,74703,345,42918.22,1,0.92,1
64,114977,584,49683.43,1,0.33,1
31,67819,381,21485.67,0,0.75,0
20,48469,343,25415.14,1,0.15,1
18,23845,572,37025.02,1,0.78,0
22,130186,693,47171.89,1,0.21,0
43,43290,357,45234.22,0,0.73,0
31,132551,300,7591.63,0,0.58,1
56,50699,515,12608.23,0,0.96,0
44,64252,616,38956.87,1,0.13,1
26,118682,527,36000.19,0,0.36,0
32,23293,772,10994.84,1,0.16,1
32,138017,783,27592.91,0,0.89,0
43,139496,586,40136.66,0,0.63,0
59,129934,810,14845.13,1,0.58,0
30,77089,757,44207.94,0,0.22,0
68,131964,394,7383.73,0,0.54,0
49,36608,792,40198.78,1,0.46,1
56,148713,449,32711.85,1,0.38,0
66,86273,322,19183.97,1,0.79,1
69,36619,514,37441.96,1,0.16,1
49,98006,698,40206.46,1,0.68,1
21,135399,709,47025.45,1,0.84,1
47,107908,430,21549.86,1,0.92,1
54,101653,447,35870.75,1,0.77,1
40,34779,680,32117.73,0,0.35,0
56,71040,408,28634.27,1,0.64,1
62,114830,420,45068.74,0,0.23,0
32,76325,594,5142.53,1,0.21,0
60,135947,419,17695.02,1,0.67,0
46,41630,755,29222.48,0,0.87,1
53,125575,829,13023.2,0,0.16,1
30,135436,468,45853.99,0,0.2,1
49,32178,442,34141.78,1,0.61,0
24,39935,336,26504.73,1,0.3,0
68,67258,560,41661.58,1,0.65,0
39,42784,530,25289.88,1,0.29,1
45,83722,553,30139.39,0,0.2,0
19,43027,628,5123.79,1,0.59,1
59,116544,596,21456.52,0,0.88,1
62,77853,309,11245.57,1,0.72,1
23,132167,745,36035.99,1,0.84,1
45,87359,529,26556.21,0,0.34,0
45,92388,835,18579.09,1,0.9,1
61,98608,377,26052.46,0,0.44,1
61,96669,724,14433.34,1,0.87,1
37,35111,492,46628.9,1,0.52,1
47,52312,700,7428.77,1,0.34,1
28,149321,408,43943.77,1,0.33,0
45,44161,562,28011.15,1,0.61,0
42,138920,628,32852.59,0,0.17,1
56,124823,662,18617.25,1,0.94,1
50,145014,677,48501.39,1,0.34,0
18,87313,640,17683.29,1,0.4,1
